Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1923,740.68,1540.61,547.63,366.97,1536.25,328.59,521.79,1163.44,1062.16,991.88,1276.05,1306.26,2649.77,509.84,942.61,1078.14,757.84,796.61,1367.51,1784.69,1015.55,1045.93,1110.74,743.13,541.02,1750.25,1050.23,455.55,681.02,243.80,1024.13,1046.46,434.69,889.04,1115.41,458.55,1015.57,1103.65,669.34,958.83,1197.88,1157.47,524.54,1478.18,851.95,333.84,955.70,1028.76,959.47,1218.38,661.22,450.95
1924,640.02,1204.55,557.76,200.82,948.38,383.73,340.45,976.59,1206.89,1182.17,1491.64,1309.10,1848.32,336.04,905.80,956.40,793.31,607.37,1128.39,913.74,927.19,1214.85,971.73,747.10,633.60,1023.28,1021.28,368.48,515.95,158.71,962.50,1126.16,243.19,959.86,1395.19,436.30,985.09,702.55,584.33,1073.99,1001.18,1439.10,446.81,1202.00,506.97,253.48,953.92,1213.67,885.67,1216.36,818.19,316.19
1925,641.88,1123.08,568.85,289.26,1022.11,483.30,406.10,1065.84,869.94,825.70,1312.14,993.40,1636.23,504.36,823.18,891.23,719.33,607.84,1050.01,1259.01,1107.93,888.08,1117.42,648.13,595.51,1206.47,977.67,416.56,508.09,294.19,1093.73,1028.23,316.44,1052.52,974.04,403.22,892.04,725.84,655.58,971.79,1109.08,902.63,387.00,1038.51,564.60,322.62,1102.36,848.11,835.13,1024.59,701.22,370.79
1926,721.96,1490.84,547.82,345.45,1203.56,585.29,400.89,1077.30,1115.98,1022.03,1527.84,1271.59,1352.04,447.92,1064.44,1085.38,797.66,624.38,1285.95,1604.64,1042.69,1095.39,1045.49,842.48,617.79,1426.88,1069.18,357.40,521.72,190.07,974.79,1158.69,415.38,1016.13,1084.12,393.72,1121.37,988.09,733.83,1074.38,1097.71,1060.27,429.23,1376.62,806.30,284.39,989.31,1073.21,907.30,1288.67,873.95,344.70
1927,737.78,1205.44,494.18,355.41,1551.59,610.47,486.52,1302.31,1030.33,914.05,1098.73,1048.79,2330.92,559.24,1249.91,1260.85,769.36,785.36,1432.89,1457.08,1161.31,1029.72,1214.59,794.18,642.79,1386.65,1378.48,519.92,598.90,243.73,1110.35,1241.79,319.51,1121.03,1169.82,547.94,1126.66,977.54,822.89,1162.22,1219.46,1059.03,565.13,1419.60,597.52,389.96,1094.29,1066.62,1088.80,1279.74,787.27,426.09
1928,705.14,1382.35,614.58,234.16,1226.77,412.65,428.80,1091.44,1175.03,1036.11,1557.56,1465.83,1655.53,352.22,937.53,932.70,907.44,810.75,1184.69,1374.05,1089.01,1125.97,1066.34,833.34,662.41,1292.30,1107.31,354.41,556.55,149.33,1017.56,1164.53,347.75,979.95,1387.45,440.72,915.31,914.39,599.39,1069.23,1063.61,1459.12,429.52,1308.14,672.82,257.63,970.88,1071.75,809.08,1133.18,847.62,337.21
1929,723.64,1787.41,615.38,258.74,1186.50,332.44,440.27,1123.78,1054.64,965.13,1558.96,1684.86,2209.21,369.69,1051.97,1197.42,774.43,705.49,1302.21,1524.68,986.76,1076.08,1069.97,821.36,519.43,1525.84,1162.20,355.54,579.99,156.51,1000.24,1078.56,371.38,1079.06,1557.76,371.34,1180.95,886.88,537.66,1147.36,1137.90,1597.45,493.80,1481.08,675.84,303.11,1026.24,1178.13,633.69,1218.26,704.61,358.86
1930,627.82,1159.07,620.26,333.97,1082.45,413.18,416.08,884.57,703.05,512.24,1549.56,1186.77,2229.99,434.01,701.55,767.70,665.64,667.89,777.09,1265.68,953.54,606.32,864.47,595.34,560.15,1165.18,786.93,329.66,641.92,268.41,879.86,879.01,334.59,813.92,926.60,383.02,700.89,776.97,517.46,735.90,858.53,1041.58,453.27,1001.87,662.56,348.63,874.43,634.11,680.48,660.28,658.78,353.70
1931,657.62,1121.53,560.68,403.40,1163.50,583.95,349.15,1034.14,1037.67,926.20,1134.46,939.01,1644.19,375.12,949.03,979.90,858.90,647.60,1066.39,1269.90,1058.71,998.55,1108.09,755.67,584.59,1293.84,1023.60,277.08,478.54,218.01,1041.10,957.22,423.26,949.45,1097.27,399.61,951.57,794.05,672.97,963.13,1091.59,888.87,353.98,1102.16,656.60,240.57,1017.90,979.52,1032.36,1073.10,759.28,277.01
1932,719.59,1591.55,560.92,312.11,1303.16,364.71,354.36,1216.56,1191.84,1189.76,1377.90,1407.26,1940.73,490.57,919.27,1106.70,812.97,596.83,1335.38,1549.08,1060.36,1191.81,1168.57,818.43,586.52,1668.65,946.55,423.56,517.12,237.15,1043.17,1165.87,385.58,1078.99,1279.23,443.80,966.40,832.14,698.56,1012.58,1290.68,1350.49,448.45,1499.87,791.70,310.07,1043.16,1134.91,1108.65,1167.85,666.46,326.48
